edr,edr_chave,oeste,sul,leste,norte,cafe_ha
Franca,FRANCA,-47.3356730898494,-20.512614220532374,-47.28554709699553,-20.462488227678506,103.2
Franca,FRANCA,-47.28554709699553,-20.512614220532374,-47.23542110414166,-20.462488227678506,181.1
Franca,FRANCA,-47.23542110414166,-20.512614220532374,-47.18529511128779,-20.462488227678506,63.1
Franca,FRANCA,-47.586303054118744,-20.562740213386242,-47.53617706126488,-20.512614220532374,233.8
Franca,FRANCA,-47.53617706126488,-20.562740213386242,-47.48605106841101,-20.512614220532374,396.5
Franca,FRANCA,-47.48605106841101,-20.562740213386242,-47.43592507555714,-20.512614220532374,84.6
Franca,FRANCA,-47.38579908270327,-20.562740213386242,-47.3356730898494,-20.512614220532374,32.5
Franca,FRANCA,-47.3356730898494,-20.562740213386242,-47.28554709699553,-20.512614220532374,388.4
Franca,FRANCA,-47.28554709699553,-20.562740213386242,-47.23542110414166,-20.512614220532374,378.5
Franca,FRANCA,-47.23542110414166,-20.562740213386242,-47.18529511128779,-20.512614220532374,328.4
Franca,FRANCA,-47.18529511128779,-20.562740213386242,-47.13516911843392,-20.512614220532374,198.4
Franca,FRANCA,-47.586303054118744,-20.612866206240113,-47.53617706126488,-20.562740213386242,168.2
Franca,FRANCA,-47.53617706126488,-20.612866206240113,-47.48605106841101,-20.562740213386242,159.6
Franca,FRANCA,-47.48605106841101,-20.612866206240113,-47.43592507555714,-20.562740213386242,127.1
Franca,FRANCA,-47.43592507555714,-20.612866206240113,-47.38579908270327,-20.562740213386242,262.7
Franca,FRANCA,-47.38579908270327,-20.612866206240113,-47.3356730898494,-20.562740213386242,80.4
Franca,FRANCA,-47.3356730898494,-20.612866206240113,-47.28554709699553,-20.562740213386242,58.6
Franca,FRANCA,-47.28554709699553,-20.612866206240113,-47.23542110414166,-20.562740213386242,213.5
Franca,FRANCA,-47.23542110414166,-20.612866206240113,-47.18529511128779,-20.562740213386242,194.5
Franca,FRANCA,-47.18529511128779,-20.612866206240113,-47.13516911843392,-20.562740213386242,154.9
Franca,FRANCA,-47.48605106841101,-20.66299219909398,-47.43592507555714,-20.612866206240113,114.3
Franca,FRANCA,-47.43592507555714,-20.66299219909398,-47.38579908270327,-20.612866206240113,612.9
Franca,FRANCA,-47.38579908270327,-20.66299219909398,-47.3356730898494,-20.612866206240113,171.5
Franca,FRANCA,-47.28554709699553,-20.66299219909398,-47.23542110414166,-20.612866206240113,171.5
Franca,FRANCA,-47.23542110414166,-20.66299219909398,-47.18529511128779,-20.612866206240113,378.4
Franca,FRANCA,-47.18529511128779,-20.66299219909398,-47.13516911843392,-20.612866206240113,281.4
Franca,FRANCA,-47.13516911843392,-20.66299219909398,-47.08504312558005,-20.612866206240113,511.4
Franca,FRANCA,-47.43592507555714,-20.713118191947853,-47.38579908270327,-20.66299219909398,58.6
Franca,FRANCA,-47.28554709699553,-20.713118191947853,-47.23542110414166,-20.66299219909398,44.8
Franca,FRANCA,-47.23542110414166,-20.713118191947853,-47.18529511128779,-20.66299219909398,87.2
Franca,FRANCA,-47.18529511128779,-20.713118191947853,-47.13516911843392,-20.66299219909398,334.2
Franca,FRANCA,-47.13516911843392,-20.713118191947853,-47.08504312558005,-20.66299219909398,108.4
Franca,FRANCA,-47.23542110414166,-20.76324418480172,-47.18529511128779,-20.713118191947853,90.8
Franca,FRANCA,-47.28554709699553,-20.81337017765559,-47.23542110414166,-20.76324418480172,145.4
Franca,FRANCA,-47.23542110414166,-20.81337017765559,-47.18529511128779,-20.76324418480172,237.3
Franca,FRANCA,-47.636429046972616,-20.86349617050946,-47.586303054118744,-20.81337017765559,40.5
Franca,FRANCA,-47.48605106841101,-20.86349617050946,-47.43592507555714,-20.81337017765559,34.4
Franca,FRANCA,-47.636429046972616,-20.91362216336333,-47.586303054118744,-20.86349617050946,43.0
Franca,FRANCA,-47.48605106841101,-20.91362216336333,-47.43592507555714,-20.86349617050946,131.8
Franca,FRANCA,-47.43592507555714,-20.91362216336333,-47.38579908270327,-20.86349617050946,61.8
Franca,FRANCA,-47.636429046972616,-20.963748156217196,-47.586303054118744,-20.91362216336333,47.8
Franca,FRANCA,-47.586303054118744,-20.963748156217196,-47.53617706126488,-20.91362216336333,32.9
Franca,FRANCA,-47.48605106841101,-20.963748156217196,-47.43592507555714,-20.91362216336333,229.8
Franca,FRANCA,-47.43592507555714,-20.963748156217196,-47.38579908270327,-20.91362216336333,735.8
Franca,FRANCA,-47.38579908270327,-20.963748156217196,-47.3356730898494,-20.91362216336333,103.0
Franca,FRANCA,-47.23542110414166,-20.963748156217196,-47.18529511128779,-20.91362216336333,79.2
Franca,FRANCA,-47.18529511128779,-20.963748156217196,-47.13516911843392,-20.91362216336333,79.5
Franca,FRANCA,-47.586303054118744,-21.013874149071068,-47.53617706126488,-20.963748156217196,91.1
Franca,FRANCA,-47.48605106841101,-21.013874149071068,-47.43592507555714,-20.963748156217196,251.5
Franca,FRANCA,-47.43592507555714,-21.013874149071068,-47.38579908270327,-20.963748156217196,1104.8
Franca,FRANCA,-47.38579908270327,-21.013874149071068,-47.3356730898494,-20.963748156217196,956.4
Franca,FRANCA,-47.28554709699553,-21.013874149071068,-47.23542110414166,-20.963748156217196,35.7
Franca,FRANCA,-47.23542110414166,-21.013874149071068,-47.18529511128779,-20.963748156217196,329.4
Franca,FRANCA,-47.18529511128779,-21.013874149071068,-47.13516911843392,-20.963748156217196,218.6
Franca,FRANCA,-47.48605106841101,-21.064000141924936,-47.43592507555714,-21.013874149071068,107.0
Franca,FRANCA,-47.43592507555714,-21.064000141924936,-47.38579908270327,-21.013874149071068,369.9
Franca,FRANCA,-47.38579908270327,-21.064000141924936,-47.3356730898494,-21.013874149071068,357.7
Franca,FRANCA,-47.3356730898494,-21.064000141924936,-47.28554709699553,-21.013874149071068,223.6
Franca,FRANCA,-47.28554709699553,-21.064000141924936,-47.23542110414166,-21.013874149071068,259.2
Franca,FRANCA,-47.23542110414166,-21.064000141924936,-47.18529511128779,-21.013874149071068,88.8
Franca,FRANCA,-47.18529511128779,-21.064000141924936,-47.13516911843392,-21.013874149071068,165.4
Franca,FRANCA,-47.48605106841101,-21.114126134778807,-47.43592507555714,-21.064000141924936,30.6
Franca,FRANCA,-47.28554709699553,-21.114126134778807,-47.23542110414166,-21.064000141924936,34.6
Franca,FRANCA,-47.23542110414166,-21.114126134778807,-47.18529511128779,-21.064000141924936,197.7
Franca,FRANCA,-47.18529511128779,-21.114126134778807,-47.13516911843392,-21.064000141924936,54.7
Franca,FRANCA,-47.13516911843392,-21.114126134778807,-47.08504312558005,-21.064000141924936,35.0
Franca,FRANCA,-47.23542110414166,-21.164252127632675,-47.18529511128779,-21.114126134778807,56.0
Franca,FRANCA,-47.18529511128779,-21.164252127632675,-47.13516911843392,-21.114126134778807,239.8
Franca,FRANCA,-47.13516911843392,-21.164252127632675,-47.08504312558005,-21.114126134778807,78.0
Franca,FRANCA,-47.23542110414166,-21.214378120486543,-47.18529511128779,-21.164252127632675,95.4
Franca,FRANCA,-47.18529511128779,-21.214378120486543,-47.13516911843392,-21.164252127632675,168.9
Franca,FRANCA,-47.13516911843392,-21.214378120486543,-47.08504312558005,-21.164252127632675,69.6
General Salgado,GENERAL SALGADO,-49.956759660875136,-20.81137130903296,-49.906633668021264,-20.76124531617909,41.0
General Salgado,GENERAL SALGADO,-50.00688565372901,-20.86149730188683,-49.956759660875136,-20.81137130903296,75.2
General Salgado,GENERAL SALGADO,-49.956759660875136,-20.86149730188683,-49.906633668021264,-20.81137130903296,137.3
General Salgado,GENERAL SALGADO,-49.906633668021264,-20.86149730188683,-49.8565076751674,-20.81137130903296,37.4
General Salgado,GENERAL SALGADO,-50.00688565372901,-20.911623294740696,-49.956759660875136,-20.86149730188683,43.0
General Salgado,GENERAL SALGADO,-49.906633668021264,-20.911623294740696,-49.8565076751674,-20.86149730188683,93.9
General Salgado,GENERAL SALGADO,-49.906633668021264,-20.961749287594568,-49.8565076751674,-20.911623294740696,215.5
