edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
PRESIDENTE PRUDENTE,Presidente Prudente,2001,2727.0,1646.2,2596.6,11900.0,3327.115004376312
PRESIDENTE VENCESLAU,Presidente Venceslau,2001,2269.1,1676.7,2163.2,1164.0,2117.2058066775753
SOROCABA,Sorocaba,2001,3000.0,2800.0,2358.2,2760.0,3191.532181158617
SAO JOSE DO RIO PRETO,São José do Rio Preto,2001,2548.1,1704.4,2135.6,2192.0,2543.801985264305
SAO JOAO DA BOA VISTA,São João da Boa Vista,2001,2737.0,2394.9,2830.6,1380.0,2296.6998573760047
ANDRADINA,Andradina,2002,3444.4,4077.8,2734.5,1620.0,3616.9427360063323
ARARAQUARA,Araraquara,2002,2547.0,2542.6,1563.5,1757.0,2736.569054336786
ARACATUBA,Araçatuba,2002,1689.1,2973.5,1428.4,14200.0,2951.760951455315
ASSIS,Assis,2002,2063.9,2794.2,1887.2,130216.0,2845.456221736514
AVARE,Avaré,2002,2773.9,3355.0,2251.2,13850.0,3300.138545418372
BARRETOS,Barretos,2002,900.8,894.6,684.2,24292.0,2066.9046160849484
BOTUCATU,Botucatu,2002,2015.6,2691.4,1536.8,1670.0,2622.7500927109227
CAMPINAS,Campinas,2002,2775.3,3337.5,2822.3,2470.0,3630.971738381834
FERNANDOPOLIS,Fernandópolis,2002,1911.7,1862.5,1897.3,2470.0,2044.6526824525927
FRANCA,Franca,2002,1975.2,2259.3,2664.9,4350.0,2573.561940252697
GENERAL SALGADO,General Salgado,2002,2376.6,3176.8,2486.4,2782.1,3304.7982877154745
ITAPETININGA,Itapetininga,2002,3549.1,3420.6,3252.4,6690.0,3580.179694502644
ITAPEVA,Itapeva,2002,4467.2,4156.3,4042.6,18824.0,4572.118708387786
LIMEIRA,Limeira,2002,2233.0,2875.9,2632.2,970.0,3185.55160882602
MOGI MIRIM,Mogi Mirim,2002,3434.8,3756.7,3395.3,2516.8,4096.306060562468
ORLANDIA,Orlândia,2002,1519.4,1216.3,1242.7,46140.0,1861.2416600420936
OURINHOS,Ourinhos,2002,2534.4,2924.6,2000.8,17120.0,3100.681083927483
PRESIDENTE PRUDENTE,Presidente Prudente,2002,2357.8,2727.0,1646.2,13903.0,2791.1631986445527
PRESIDENTE VENCESLAU,Presidente Venceslau,2002,1691.2,2269.1,1676.7,1081.0,2543.67794030901
SOROCABA,Sorocaba,2002,3525.8,3000.0,2800.0,1746.0,3008.374490960998
SAO JOSE DO RIO PRETO,São José do Rio Preto,2002,2783.7,2548.1,1704.4,2452.0,2826.1341153726485
SAO JOAO DA BOA VISTA,São João da Boa Vista,2002,2833.6,2737.0,2394.9,2423.0,3034.5658152804904
ANDRADINA,Andradina,2003,3384.2,3444.4,4077.8,2030.0,3962.820892557617
ARARAQUARA,Araraquara,2003,2702.3,2547.0,2542.6,1492.0,3525.909871329511
ARACATUBA,Araçatuba,2003,3174.2,1689.1,2973.5,22555.0,2974.796934787116
ASSIS,Assis,2003,3984.5,2063.9,2794.2,133217.0,3082.0308539611974
AVARE,Avaré,2003,3708.3,2773.9,3355.0,16120.0,3753.337077645287
BARRETOS,Barretos,2003,3016.8,900.8,894.6,23267.0,2010.6841527433246
BOTUCATU,Botucatu,2003,3065.9,2015.6,2691.4,1730.0,2786.60243119457
CAMPINAS,Campinas,2003,2925.3,2775.3,3337.5,1855.6,3537.2271845785895
FERNANDOPOLIS,Fernandópolis,2003,2358.5,1911.7,1862.5,2890.0,2725.905158023148
FRANCA,Franca,2003,2878.9,1975.2,2259.3,2850.0,2997.4227312718585
