edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
DRACENA,Dracena,2016,923.2,871.2,840.5,2934.0,891.0762997538664
FRANCA,Franca,2016,2598.9,1018.4,1798.1,60152.4,1774.214374046002
JAU,Jaú,2016,1837.2,1597.6,1582.4,6456.0,1583.7068287715203
LINS,Lins,2016,1195.7,1229.2,1010.2,1683.7,1155.9723261443212
MARILIA,Marília,2016,1474.7,1383.6,1202.8,24551.4,1344.76578231319
MOGI MIRIM,Mogi Mirim,2016,933.9,533.1,549.2,3185.0,760.9596689923029
ORLANDIA,Orlândia,2016,1901.6,1890.0,1651.4,2380.0,1748.2652949504657
OURINHOS,Ourinhos,2016,1492.2,1503.9,1189.1,16444.0,1345.538387957338
RIBEIRAO PRETO,Ribeirão Preto,2016,1561.4,1210.1,1418.7,4976.3,1588.1874168784502
SAO JOAO DA BOA VISTA,São João da Boa Vista,2016,1630.9,1350.1,1249.2,44639.2,1478.28447785727
TUPA,Tupã,2016,792.5,714.3,437.7,5108.0,602.4912449843962
ARARAQUARA,Araraquara,2017,884.5,902.5,918.9,1887.0,981.8938249981992
AVARE,Avaré,2017,1331.1,1401.6,1041.2,6330.0,1267.8968597242842
BAURU,Bauru,2017,1206.0,892.4,919.9,803.9,977.1087871820936
BOTUCATU,Botucatu,2017,1184.2,1226.5,1189.3,3513.0,1267.116248959924
BRAGANCA PAULISTA,Bragança Paulista,2017,1502.6,1499.9,1421.8,9048.0,1672.6865148714855
DRACENA,Dracena,2017,847.9,923.2,871.2,2610.0,867.2217154238355
FRANCA,Franca,2017,1179.8,2598.9,1018.4,60933.2,1276.313405709586
JAU,Jaú,2017,1609.8,1837.2,1597.6,6797.3,1284.1468126975767
LINS,Lins,2017,1420.1,1195.7,1229.2,1691.4,1311.9202776000068
MARILIA,Marília,2017,1408.4,1474.7,1383.6,24717.0,1441.0659448964336
MOGI MIRIM,Mogi Mirim,2017,949.2,933.9,533.1,3089.5,735.5553912442145
ORLANDIA,Orlândia,2017,2039.4,1901.6,1890.0,2473.0,1760.3376031822822
OURINHOS,Ourinhos,2017,1532.7,1492.2,1503.9,16553.0,1351.9708301839967
RIBEIRAO PRETO,Ribeirão Preto,2017,1385.1,1561.4,1210.1,4961.31,1579.687926628915
