edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
DRACENA,Dracena,1996,1699.1,1660.6,1717.6,1105.0,1689.1067805547705
GENERAL SALGADO,General Salgado,1996,1741.3,1586.6,1921.7,86.0,2220.234700403744
JABOTICABAL,Jaboticabal,1996,2747.6,2180.7,2397.5,9602.0,2425.0833295055113
LINS,Lins,1996,1878.2,1871.5,1874.5,1675.0,1605.819914227297
MARILIA,Marília,1996,1544.0,1255.4,1661.6,5110.0,1352.3803212074838
ORLANDIA,Orlândia,1996,2603.8,2482.4,2000.0,1830.0,2238.966281186017
PRESIDENTE PRUDENTE,Presidente Prudente,1996,1880.8,1818.1,2005.2,2532.0,1714.7272768908297
PRESIDENTE VENCESLAU,Presidente Venceslau,1996,1876.3,2540.8,2329.2,186.0,1986.125747401697
RIBEIRAO PRETO,Ribeirão Preto,1996,2654.8,2453.3,2611.0,12270.0,2313.5561358527207
SAO JOSE DO RIO PRETO,São José do Rio Preto,1996,1805.7,1410.4,1530.1,920.0,1586.2753965813006
TUPA,Tupã,1996,1576.5,1314.2,1683.4,11613.0,1358.7260197702215
ANDRADINA,Andradina,1997,1750.0,2510.1,2060.1,895.0,2351.581009108462
ARARAQUARA,Araraquara,1997,1798.9,1804.4,2032.2,2660.0,1971.8689041963298
ARACATUBA,Araçatuba,1997,2269.0,2287.0,2014.0,2104.0,2208.10598750943
ASSIS,Assis,1997,1733.8,1959.9,1857.4,5915.0,1852.62410831164
BARRETOS,Barretos,1997,2500.0,2816.3,2697.8,2050.0,2269.030296221587
BAURU,Bauru,1997,3204.5,2031.2,1991.7,55.0,2037.8951030902606
CATANDUVA,Catanduva,1997,1318.0,1283.9,1202.5,1191.0,1402.7932694043589
DRACENA,Dracena,1997,1826.5,1699.1,1660.6,2033.0,1998.787192416327
GENERAL SALGADO,General Salgado,1997,1893.0,1741.3,1586.6,178.0,1914.4852939797458
JABOTICABAL,Jaboticabal,1997,2223.6,2747.6,2180.7,10596.0,2570.2147786481773
LINS,Lins,1997,1332.4,1878.2,1871.5,1935.0,2009.8630825937598
MARILIA,Marília,1997,1095.5,1544.0,1255.4,5563.0,1699.5009393487808
ORLANDIA,Orlândia,1997,2535.4,2603.8,2482.4,1835.0,2281.293852874316
PRESIDENTE PRUDENTE,Presidente Prudente,1997,1841.9,1880.8,1818.1,5570.0,2079.610658548475
PRESIDENTE VENCESLAU,Presidente Venceslau,1997,2038.4,1876.3,2540.8,116.0,2153.5831781760585
RIBEIRAO PRETO,Ribeirão Preto,1997,2283.8,2654.8,2453.3,12320.0,2636.326101359694
SAO JOSE DO RIO PRETO,São José do Rio Preto,1997,1631.2,1805.7,1410.4,600.0,1778.0848670521148
TUPA,Tupã,1997,1495.3,1576.5,1314.2,12054.0,1748.168069146746
ANDRADINA,Andradina,1998,2098.3,1750.0,2510.1,1076.0,1863.4982253233009
ARARAQUARA,Araraquara,1998,1774.8,1798.9,1804.4,1762.0,1832.040296296729
ARACATUBA,Araçatuba,1998,2239.9,2269.0,2287.0,2416.0,2126.8467555166662
ASSIS,Assis,1998,2291.7,1733.8,1959.9,6988.0,1615.0914473766547
BARRETOS,Barretos,1998,2511.3,2500.0,2816.3,4946.0,2036.229069568819
BAURU,Bauru,1998,2473.2,3204.5,2031.2,56.0,2668.3856359522615
CATANDUVA,Catanduva,1998,1556.6,1318.0,1283.9,1351.0,1280.9339380946215
DRACENA,Dracena,1998,1803.0,1826.5,1699.1,1986.0,1674.94899939337
GENERAL SALGADO,General Salgado,1998,2584.1,1893.0,1741.3,945.0,1655.3853484045342
JABOTICABAL,Jaboticabal,1998,1902.7,2223.6,2747.6,10245.0,2292.542150532167
LINS,Lins,1998,1384.5,1332.4,1878.2,1530.0,1299.2344358807848
MARILIA,Marília,1998,1893.0,1095.5,1544.0,6418.0,1517.2406604261712
ORLANDIA,Orlândia,1998,2552.2,2535.4,2603.8,1474.0,2324.0782333168495
PRESIDENTE PRUDENTE,Presidente Prudente,1998,1949.9,1841.9,1880.8,5547.0,1641.5678935478852
PRESIDENTE VENCESLAU,Presidente Venceslau,1998,1882.1,2038.4,1876.3,1002.0,2306.0410810206295
RIBEIRAO PRETO,Ribeirão Preto,1998,2701.0,2283.8,2654.8,20400.0,2064.0772500347443
SAO JOSE DO RIO PRETO,São José do Rio Preto,1998,1778.6,1631.2,1805.7,507.0,1558.0218674963014
TUPA,Tupã,1998,1648.7,1495.3,1576.5,18032.0,1464.917560494883
ANDRADINA,Andradina,1999,2404.8,2098.3,1750.0,662.0,2149.090043903118
ARARAQUARA,Araraquara,1999,2121.4,1774.8,1798.9,2701.0,1785.1433679957768
ARACATUBA,Araçatuba,1999,1978.2,2239.9,2269.0,2389.0,2328.2574484057977
ASSIS,Assis,1999,1977.0,2291.7,1733.8,6151.0,2215.3285088494035
BARRETOS,Barretos,1999,2502.5,2511.3,2500.0,4050.0,2353.034276968566
BAURU,Bauru,1999,2275.0,2473.2,3204.5,30.0,2330.053243232944
CATANDUVA,Catanduva,1999,1437.9,1556.6,1318.0,950.0,1628.0540690177606
DRACENA,Dracena,1999,2208.9,1803.0,1826.5,2683.0,1645.411566720187
GENERAL SALGADO,General Salgado,1999,1872.6,2584.1,1893.0,156.0,2440.8228537325645
JABOTICABAL,Jaboticabal,1999,2460.2,1902.7,2223.6,8208.0,2382.209107528442
LINS,Lins,1999,1423.2,1384.5,1332.4,1696.0,1433.8301178215488
MARILIA,Marília,1999,1574.9,1893.0,1095.5,5888.0,1638.2992810836627
ORLANDIA,Orlândia,1999,2465.1,2552.2,2535.4,1790.0,2482.1047512314944
PRESIDENTE PRUDENTE,Presidente Prudente,1999,2015.6,1949.9,1841.9,3355.0,1822.1962004730244
PRESIDENTE VENCESLAU,Presidente Venceslau,1999,1839.3,1882.1,2038.4,1327.0,1715.4537350165974
RIBEIRAO PRETO,Ribeirão Preto,1999,2559.6,2701.0,2283.8,14730.0,2532.608555760338
SAO JOSE DO RIO PRETO,São José do Rio Preto,1999,1890.2,1778.6,1631.2,963.0,1983.922366704308
TUPA,Tupã,1999,1553.5,1648.7,1495.3,17007.0,1458.5226195362638
ANDRADINA,Andradina,2000,2679.1,2404.8,2098.3,504.0,2168.581838392043
ARARAQUARA,Araraquara,2000,2009.6,2121.4,1774.8,1660.0,2122.1273924113384
ARACATUBA,Araçatuba,2000,1892.8,1978.2,2239.9,3300.0,2397.776035944474
ASSIS,Assis,2000,1762.7,1977.0,2291.7,5317.0,2143.4165432267405
BARRETOS,Barretos,2000,2706.1,2502.5,2511.3,892.0,2349.309328809484
BAURU,Bauru,2000,2585.7,2275.0,2473.2,35.0,2384.377262059649
CATANDUVA,Catanduva,2000,1337.4,1437.9,1556.6,815.0,1556.5750017003272
DRACENA,Dracena,2000,1594.7,2208.9,1803.0,3633.0,2440.656282609896
GENERAL SALGADO,General Salgado,2000,1883.7,1872.6,2584.1,288.0,2194.584644674203
JABOTICABAL,Jaboticabal,2000,2641.6,2460.2,1902.7,10634.0,2375.7613869732036
LINS,Lins,2000,1489.7,1423.2,1384.5,2180.0,1685.9681262992215
MARILIA,Marília,2000,1497.5,1574.9,1893.0,6451.0,1770.3328916751766
ORLANDIA,Orlândia,2000,2688.8,2465.1,2552.2,2688.0,2526.1456238450264
PRESIDENTE PRUDENTE,Presidente Prudente,2000,1851.1,2015.6,1949.9,3078.0,2136.0634438051875
PRESIDENTE VENCESLAU,Presidente Venceslau,2000,2048.2,1839.3,1882.1,1163.0,2045.97014248414
RIBEIRAO PRETO,Ribeirão Preto,2000,2712.2,2559.6,2701.0,16150.0,2526.9236591263348
SAO JOSE DO RIO PRETO,São José do Rio Preto,2000,1815.5,1890.2,1778.6,759.0,1986.44167172121
TUPA,Tupã,2000,1384.5,1553.5,1648.7,16028.0,1499.286741173079
ANDRADINA,Andradina,2001,2964.4,2679.1,2404.8,511.0,2825.626982520272
ARARAQUARA,Araraquara,2001,2067.9,2009.6,2121.4,3876.0,2299.833111765944
ARACATUBA,Araçatuba,2001,2290.0,1892.8,1978.2,2441.0,2344.2436429954782
ASSIS,Assis,2001,1983.5,1762.7,1977.0,5440.0,2323.664866683617
BARRETOS,Barretos,2001,2890.1,2706.1,2502.5,1410.0,2875.839656208074
BAURU,Bauru,2001,2250.0,2585.7,2275.0,37.0,2582.0645622174184
CATANDUVA,Catanduva,2001,1281.3,1337.4,1437.9,3052.0,2035.1016421973598
DRACENA,Dracena,2001,2065.7,1594.7,2208.9,3233.0,1931.6905252614724
