edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
LIMEIRA,Limeira,1995,1.9586,1.9167,1.9008,13795500.0,1.9469151119095855
LINS,Lins,1995,2.4393,2.4398,1.8521,1289100.0,2.738422703380439
MOGI MIRIM,Mogi Mirim,1995,2.3436,2.2722,2.2706,20552200.0,2.055389280684918
OURINHOS,Ourinhos,1995,1.6756,1.8161,1.9667,545840.0,1.8983042576158253
PIRACICABA,Piracicaba,1995,1.8649,1.8677,1.7949,919550.0,1.864117484312688
RIBEIRAO PRETO,Ribeirão Preto,1995,1.6709,1.6424,1.6822,3386000.0,1.7517343341595892
SOROCABA,Sorocaba,1995,2.7213,2.9273,2.6825,1521600.0,2.921237374050012
SAO JOSE DO RIO PRETO,São José do Rio Preto,1995,1.9405,2.2225,2.3016,14699231.0,2.1378748941647396
SAO JOAO DA BOA VISTA,São João da Boa Vista,1995,2.4185,2.4156,2.1775,6725750.0,2.2551746886079966
VOTUPORANGA,Votuporanga,1995,1.8595,2.011,2.3237,1693500.0,2.2863542406817348
ARARAQUARA,Araraquara,1996,1.8421,1.7343,1.7479,19002686.0,1.773259206519576
AVARE,Avaré,1996,1.7845,1.4402,1.5953,1394420.0,1.6861398267940064
BARRETOS,Barretos,1996,1.7659,1.7999,1.7917,39579304.0,1.745341258117634
BAURU,Bauru,1996,2.5354,2.5779,2.4762,1499255.0,2.58409545035963
BOTUCATU,Botucatu,1996,2.3852,1.9825,2.0771,920679.0,1.943714000500459
CATANDUVA,Catanduva,1996,1.7711,1.7844,1.9502,18559055.0,1.9919711456831375
FERNANDOPOLIS,Fernandópolis,1996,2.2646,2.1795,2.3602,2615849.0,2.0306973759860294
FRANCA,Franca,1996,1.8041,1.511,1.2063,633000.0,1.7189497759185
GENERAL SALGADO,General Salgado,1996,2.2658,2.1633,2.1919,2390733.0,2.1119762267206346
ITAPETININGA,Itapetininga,1996,1.8059,1.6433,1.61,5025309.0,1.6837041290875474
ITAPEVA,Itapeva,1996,2.1249,2.0225,2.2339,806236.0,2.1492583664711487
JABOTICABAL,Jaboticabal,1996,1.8777,1.7307,1.7098,20453700.0,1.7818120402694844
JALES,Jales,1996,2.3253,2.0788,2.8517,3664760.0,2.518970069827066
JAU,Jaú,1996,2.2221,2.3776,3.2714,4422838.0,2.612804532269122
LIMEIRA,Limeira,1996,1.8648,1.9586,1.9167,14297670.0,1.944870840817763
LINS,Lins,1996,2.4188,2.4393,2.4398,1465434.0,2.6099016729014277
MOGI MIRIM,Mogi Mirim,1996,2.0381,2.3436,2.2722,21542200.0,2.2130909805802244
OURINHOS,Ourinhos,1996,2.6753,1.6756,1.8161,883890.0,1.7493523846115966
PIRACICABA,Piracicaba,1996,1.9543,1.8649,1.8677,733700.0,1.9227761252430602
RIBEIRAO PRETO,Ribeirão Preto,1996,1.6634,1.6709,1.6424,3298000.0,1.6790172609791694
SOROCABA,Sorocaba,1996,2.684,2.7213,2.9273,1194500.0,2.5106410357912754
SAO JOSE DO RIO PRETO,São José do Rio Preto,1996,1.9109,1.9405,2.2225,15816191.0,2.0436037632272357
SAO JOAO DA BOA VISTA,São João da Boa Vista,1996,2.1639,2.4185,2.4156,8605219.0,2.422307178807228
VOTUPORANGA,Votuporanga,1996,2.1017,1.8595,2.011,1951661.0,2.130549793024693
ARARAQUARA,Araraquara,1997,1.8963,1.8421,1.7343,22224745.0,1.8452450530077509
AVARE,Avaré,1997,2.0104,1.7845,1.4402,1459420.0,1.6708490897487147
BARRETOS,Barretos,1997,1.7994,1.7659,1.7999,40253754.0,1.8389134647023704
BAURU,Bauru,1997,2.5732,2.5354,2.5779,2206940.0,2.4312449788059394
BOTUCATU,Botucatu,1997,2.4932,2.3852,1.9825,1162060.0,2.1148345095624927
CATANDUVA,Catanduva,1997,1.7251,1.7711,1.7844,18419321.0,1.8939485646357481
