edr,edr_chave,oeste,sul,leste,norte,cafe_ha
Bauru,BAURU,-49.32137786353848,-22.196382700880708,-49.27125187068461,-22.14625670802684,102.0
Bauru,BAURU,-49.27125187068461,-22.196382700880708,-49.22112587783074,-22.14625670802684,191.4
Bauru,BAURU,-49.17099988497687,-22.196382700880708,-49.120873892123,-22.14625670802684,303.8
Bauru,BAURU,-49.07074789926913,-22.196382700880708,-49.020621906415265,-22.14625670802684,75.6
Bauru,BAURU,-48.92036992070752,-22.196382700880708,-48.87024392785366,-22.14625670802684,65.6
Bauru,BAURU,-49.17099988497687,-22.246508693734576,-49.120873892123,-22.196382700880708,137.0
Bauru,BAURU,-48.92036992070752,-22.246508693734576,-48.87024392785366,-22.196382700880708,127.5
Bauru,BAURU,-48.92036992070752,-22.346760679442315,-48.87024392785366,-22.296634686588447,32.2
Bauru,BAURU,-48.87024392785366,-22.346760679442315,-48.820117934999786,-22.296634686588447,298.4
Bauru,BAURU,-49.57200782780782,-22.447012665150055,-49.52188183495396,-22.396886672296187,174.6
Bauru,BAURU,-49.52188183495396,-22.447012665150055,-49.47175584210009,-22.396886672296187,66.6
Bauru,BAURU,-49.421629849246216,-22.447012665150055,-49.37150385639235,-22.396886672296187,136.2
Bauru,BAURU,-49.37150385639235,-22.447012665150055,-49.32137786353848,-22.396886672296187,127.7
Bauru,BAURU,-49.32137786353848,-22.447012665150055,-49.27125187068461,-22.396886672296187,109.9
Bauru,BAURU,-49.120873892123,-22.447012665150055,-49.07074789926913,-22.396886672296187,36.2
Bauru,BAURU,-49.57200782780782,-22.497138658003923,-49.52188183495396,-22.447012665150055,360.1
Bauru,BAURU,-49.52188183495396,-22.497138658003923,-49.47175584210009,-22.447012665150055,687.4
Bauru,BAURU,-49.47175584210009,-22.497138658003923,-49.421629849246216,-22.447012665150055,470.1
Bauru,BAURU,-49.421629849246216,-22.497138658003923,-49.37150385639235,-22.447012665150055,110.9
Bauru,BAURU,-49.37150385639235,-22.497138658003923,-49.32137786353848,-22.447012665150055,45.3
Bauru,BAURU,-49.17099988497687,-22.497138658003923,-49.120873892123,-22.447012665150055,375.1
Bauru,BAURU,-49.7725117992233,-22.547264650857795,-49.72238580636943,-22.497138658003923,187.8
Bauru,BAURU,-49.72238580636943,-22.547264650857795,-49.672259813515566,-22.497138658003923,317.6
Bauru,BAURU,-49.672259813515566,-22.547264650857795,-49.622133820661695,-22.497138658003923,116.5
Bauru,BAURU,-49.622133820661695,-22.547264650857795,-49.57200782780782,-22.497138658003923,265.8
Bauru,BAURU,-49.57200782780782,-22.547264650857795,-49.52188183495396,-22.497138658003923,1465.6
Bauru,BAURU,-49.52188183495396,-22.547264650857795,-49.47175584210009,-22.497138658003923,75.3
Bauru,BAURU,-49.421629849246216,-22.547264650857795,-49.37150385639235,-22.497138658003923,154.3
Bauru,BAURU,-49.37150385639235,-22.547264650857795,-49.32137786353848,-22.497138658003923,107.1
Bauru,BAURU,-49.7725117992233,-22.597390643711663,-49.72238580636943,-22.547264650857795,202.3
Bauru,BAURU,-49.72238580636943,-22.597390643711663,-49.672259813515566,-22.547264650857795,914.5
Bauru,BAURU,-49.672259813515566,-22.597390643711663,-49.622133820661695,-22.547264650857795,258.4
Bauru,BAURU,-49.622133820661695,-22.597390643711663,-49.57200782780782,-22.547264650857795,663.1
Bauru,BAURU,-49.47175584210009,-22.597390643711663,-49.421629849246216,-22.547264650857795,135.2
Bauru,BAURU,-49.37150385639235,-22.597390643711663,-49.32137786353848,-22.547264650857795,30.5
Bauru,BAURU,-49.32137786353848,-22.597390643711663,-49.27125187068461,-22.547264650857795,386.9
